"adult","backdrop_path","genre_ids","id","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
"False","/r2GAjd4rNOHJh6i6Y0FntmYuPQW.jpg","[12, 28, 53]","370172","en","No Time to Die","Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","242.496","/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg","2021-09-29","No Time to Die","False","7.5","4060"
"False","","[99]","158282","en","1,99 - Um Supermercado Que Vende Palavras","Different costumers shop in a supermarket that sells words and ideas.","1.188","/6efZcBxWXCXeTDGIlvbKySJpZGd.jpg","2003-11-18","1,99 - Um Supermercado Que Vende Palavras","False","5","8"
"False","/qqHQsStV6exghCM7zbObuYBiYxw.jpg","[18]","389","en","12 Angry Men","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.","18.992","/wh0f80G6GZvYBNiYmvqFngt3IYq.jpg","1957-04-10","12 Angry Men","False","8.5","6416"
"False","/nFtkNsd01rYZMQGyZJos2pagOHD.jpg","[18, 10749, 80]","1280","ko","빈집","A young man, whose only possession is a motorcycle, spends his time riding around the city looking for empty apartments. After finding one, he hangs out for a while, fixing himself something to eat, washing laundry or making small repairs in return. He always tries to leave before the owners get back but in one ostensibly empty mansion he meets the abused wife of a rich man and she escapes with him...","16.99","/hr8ghKbdo3UGUROYafpN38Sohfe.jpg","2004-10-15","3-Iron","False","7.8","888"
"False","/c59jI0WaKoIffuoLG8iB8L4Z9xM.jpg","[18]","2009","ro","4 luni, 3 săptămîni și 2 zile","Two college roommates have 24 hours to make the ultimate choice as they finalize arrangements for a black market abortion.","6.684","/pcpPPNipfPhczHO8hlRUSayvoFh.jpg","2007-08-24","4 Months, 3 Weeks and 2 Days","False","7.5","542"
"False","/etBZfuOie3uODTKTV5xnbAKB4Fr.jpg","[35, 18, 10749]","19913","en","(500) Days of Summer","Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.","51.75","/f9mbM0YMLpYemcWx6o2WeiYQLDP.jpg","2009-07-17","(500) Days of Summer","False","7.3","8374"
"False","/bUkozJfKfEwVMzCIiRbN9FXcNXF.jpg","[18]","268536","en","A Master Builder","A successful, ego-maniacal architect who has spent a lifetime bullying his wife, employees and mistresses wants to make peace as his life approaches its final act.","4.76","/8j8hI2QPnNH49oXB1dGyy8ivuTM.jpg","2013-11-11","A Master Builder","False","6.1","16"
"False","/AoWW2J4PoDe0IPuCVQOk50QFS4D.jpg","[18]","16804","ja","おくりびと","Daigo, a cellist, is laid off from his orchestra and moves with his wife back to his small hometown where the living is cheaper. Thinking he’s applying for a job at a travel agency he finds he’s being interviewed for work with departures of a more permanent nature – as an undertaker’s assistant.","10.059","/mms4nMZuPYOyEengRxCaEk7SXMd.jpg","2008-09-13","Departures","False","7.9","622"
"False","/oPxTkDKK2NcHcAEADATWiXKOkFw.jpg","[53, 18, 27]","63311","es","La piel que habito","A brilliant plastic surgeon creates a synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.","55.514","/wlTHU4M3Hmkxntnfv4iVMeMnPg2.jpg","2011-08-17","The Skin I Live In","False","7.5","3490"
"False","/Nb6eUFJ1pxwT8MHAeSSyLypvQb.jpg","[80, 53]","506815","en","A Violent Separation","1983. In a quiet Midwestern town, a young deputy covers up a murder at the hands of his brother triggering a series of events that sends them and the victim's family towards a shattering climax.","7.424","/yNlLMfrfPExwqLZSOFbqmkawIpg.jpg","2019-05-17","A Violent Separation","False","7.2","64"
