title,year
007 No Time to Die,
"1,99",
12 Angry Men,
3-Iron,
3.07am,
"4 Months, 3 Weeks and 2 Days",
(500) Days of Summer,
A Master Builder,
Okuribito,
La piel que habito,
A Separation,
A Son,
After Yang,
Aladdin,1992
Albert Nobbs,
All the President's Men,
Allita Battle Angel,
American Hustler,
An education,
Anonymous,
As Melhores Coisas do Mundo,
Avengers Endgame,
Avengers Infinity Wars,
Baixio das Bestas,
Bang Bang you're Dead,
Beautiful Boy,
Beauty And The Beast,1991
Belfast,
Birdman,
Blindness,
Boogie Nights,
Brave,
Bridge of Spies,
Call me by your Name,
Capernaum,
Carne Tremula,
Tenkū no Shiro Rapyuta,
Chasing Amy,1997
Closely Watched Trains,
Cloud Atlas,
Cloudy with a Chance of Meatballs,
Contagion,
De la servitude moderne,
Dallas Buyers Club,
Dancing with the devil,
Das Leben Der Anderen,
Detachment,
Detective Pikachu,
Dogma,
Don't Look Up,
Donnie Darko,
Doukyuusei,
Dr. Strangelove,
Drinking Buddies,
Druk,
Dune,
Si può fare,
Einstein and Eddington,
Elephant,
Enola Holmes,
Enough Said,
Entre os muros da escola,
Eu não quero voltar sozinho,
Eve no Jikan,
Evil Under the Sun,
Eyes Wide Shut,
First Reformed,
Frozen,
Ghost in the Shell,
Gosford park,
Gravity,
Hamilton,
Harvey,
Her,
High Life,
Hoje Eu Quero Voltar Sozinho,
Holy Motors,
Hotel Rwanda,
How To Train Your Dragon,
Igby Goes Down,
In Bruges,
In Darkness,
Inherent Vice,
Into The Wild,
Ivanovo Detstvo,
Jesus Christ Superstar,
"Lock, Stock and Two Smoking Barrels",
Knives Out,
La Dolce Vita,
Lady and the Tramp,1995
Lavoura arcaica,
Le chat du rabbin,
Leave no Trace,
Licorice Pizza,
Little Children,
Little Women,
Lucy,
Madayo,
Mar adentro,
Margaret,
Margin Call,
Mary and Max,
Matrix 4,
Memories of Murder,
Minari,
Moonrise Kingdom,
Mulan,
My Dinner with André,
Nebraska,
Nightmare Alley,
Nomadland,
Now You See Me,
O contador de histórias,
Le scaphandre et le papillon,
Onward,
Os famosos e os duendes da morte,
Paprika,
ParaNorman,
Perfect Blue,
Persepolis,
Peter Pan,1953
Phatom Thread,
Pink Floyd: The Wall,
Polisse,
Pride,
Primer,
Private Life,
Pro dia nascer feliz,
Promissing Young Woman,
Encanto,
Hiacynt,
BlacKkKlansman,
Quarter-life Crisis,
Rashomon,
Rent,
Requiem for a Dream,
Rope,
Rosso come il cielo,
Saving Mr Banks,
Schindlers List,
Selma,
Serbian Film,
Sicario,
Sleeping Beauty,
Sleuth,
Smashed,
Snow White And The Seven Dwarfs,1937
Spiderman Far From Home,
Stillwater,
Straight out of Compton,
Straw Dogs,
Submarine,
Ta'm e guilass,
Tarzan,1999
Tempos Modernos,
The Act Of Killing,
The Batman,
The Big Short,
The Ballad of Buster Scruggs,
The Bookshop,
Fantastic Mr. Fox,
The Farewell,
The Father,
The Fifth Estate,
The Girl in the Spider Web,
The Grand Budapest Hotel,
The Greatest Showman,
The House,
The Last Duel,
The Last of Sheila,
The Lighthouse,
The Lion King,1994
The Little Mermaid,
The Long Goodbye,
The Lord of the Rings,
The Most Dangerous Man in America,
The Perks of Being a Wallflower,
The Power of the Dog,2009
The Princess and the Frog,
The Rescuers,1977
The Revenant,
The Royal Thenembauns,
The Snowman,
The Spectacular Now,
The Suicide Squad,
The Tender Bar,
The Triplets of Belleville,
The Usual Suspects,
The Wave,
The Way Way Back,
Thor Ragnarok,
"Three Billboards Outside Ebbing, Missouri",
"Tick, Tick, Boom!",
Tokyo Godfathers,
Tomboy,
Train to Busan,
Trainspotting,
Transamerica,
Trust,
Tucker and Dale vs. Evil,
Tyrannosaur,
V for Vendetta,
Valerian and the City of a Thousand Planets,
Vanya on 42nd Street,
Shame,
Waltz With Bashir,
Watchmen,
We Are Legion,
We Need To Talk About Kevin,
Where is the Friends Home,
Whiplash,
Winter's Bone,
Wonder Woman,
XXY,
Yojimbo,
