title                                                                      ,original_title                                                             ,year
(500) Days of Summer                                                       ,(500) Days of Summer                                                       ,2009
"1,99 - Um Supermercado Que Vende Palavras                                  ","1,99 - Um Supermercado Que Vende Palavras                                  ",2003
12 Angry Men                                                               ,12 Angry Men                                                               ,1957
3-Iron                                                                     ,빈집                                                                         ,2004
"4 Months, 3 Weeks and 2 Days                                               ","4 luni, 3 săptămîni și 2 zile                                              ",2007
A Master Builder                                                           ,A Master Builder                                                           ,2013
A Separation                                                               ,جدایی نادر از سیمین                                                        ,2011
A Serbian Film                                                             ,Srpski film                                                                ,2010
After Yang                                                                 ,After Yang                                                                 ,2022
Aladdin                                                                    ,Aladdin                                                                    ,2019
Albert Nobbs                                                               ,Albert Nobbs                                                               ,2011
All the President's Men                                                    ,All the President's Men                                                    ,1976
An Education                                                               ,An Education                                                               ,2009
Anonymous                                                                  ,Anonymous                                                                  ,2011
Another Round                                                              ,Druk                                                                       ,2020
Avengers: Endgame                                                          ,Avengers: Endgame                                                          ,2019
Bang Bang You're Dead                                                      ,Bang Bang You're Dead                                                      ,2003
Beautiful Boy                                                              ,Beautiful Boy                                                              ,2018
Beauty and the Beast                                                       ,Beauty and the Beast                                                       ,1991
Belfast                                                                    ,Belfast                                                                    ,2021
Birdman or (The Unexpected Virtue of Ignorance)                            ,Birdman or (The Unexpected Virtue of Ignorance)                            ,2014
BlacKkKlansman                                                             ,BlacKkKlansman                                                             ,2018
Blindness                                                                  ,Blindness                                                                  ,2008
Bo Burnham: Inside                                                         ,Bo Burnham: Inside                                                         ,2021
Boogie Nights                                                              ,Boogie Nights                                                              ,1997
Brave                                                                      ,Brave                                                                      ,2012
Bridge of Spies                                                            ,Bridge of Spies                                                            ,2015
Call Me by Your Name                                                       ,Call Me by Your Name                                                       ,2017
Capernaum                                                                  ,کفرناحوم                                                                   ,2018
Castle in the Sky                                                          ,天空の城ラピュタ                                                                   ,1986
Chasing Amy                                                                ,Chasing Amy                                                                ,1997
Closely Watched Trains                                                     ,Closely Watched Trains                                                     ,1966
Cloud Atlas                                                                ,Cloud Atlas                                                                ,2012
Cloudy with a Chance of Meatballs                                          ,Cloudy with a Chance of Meatballs                                          ,2009
Contagion                                                                  ,Contagion                                                                  ,2011
Dallas Buyers Club                                                         ,Dallas Buyers Club                                                         ,2013
Dancing with the Devil                                                     ,Dancing with the Devil                                                     ,2009
Departures                                                                 ,おくりびと                                                                      ,2008
Detachment                                                                 ,Detachment                                                                 ,2011
Dogma                                                                      ,Dogma                                                                      ,1999
Don't Look Up                                                              ,Don't Look Up                                                              ,2021
Donnie Darko                                                               ,Donnie Darko                                                               ,2001
Dou kyu sei – Classmates                                                   ,同級生                                                                        ,2016
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb       ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb       ,1964
Drinking Buddies                                                           ,Drinking Buddies                                                           ,2013
Dune                                                                       ,Dune                                                                       ,2021
Eighth Grade                                                               ,Eighth Grade                                                               ,2018
Einstein and Eddington                                                     ,Einstein and Eddington                                                     ,2008
