movie_id,director_1,director_2,writer_1,writer_2,editor_1,editor_2,producer_1,producer_2,composer_1,main_actor_1,main_character_1,main_actor_2,main_character_2,main_actor_3,main_character_3
370172,Cary Joji Fukunaga,,Robert Wade,Neal Purvis,Elliot Graham,Tom Cross,Barbara Broccoli,Michael G. Wilson,Hans Zimmer,Daniel Craig,James Bond,Léa Seydoux,Dr. Madeleine Swann,Rami Malek,Lyutsifer Safin
158282,Marcelo Masagão,,,,,,,,,Márcio Camargo,,Sergio Capezzuto,,Giseli Duarte,
389,Sidney Lumet,,Reginald Rose,,Carl Lerner,,Henry Fonda,Reginald Rose,Kenyon Hopkins,Martin Balsam,Juror 1,John Fiedler,Juror 2,Lee J. Cobb,Juror 3
1280,Kim Ki-duk,,Kim Ki-duk,,Kim Ki-duk,,Kim Ki-duk,Suh Young-joo,Slvian,Lee Seung-yeon,Sun-hwa,Jae Hee,Tae-suk,Hyuk-ho Kwon,Min-gyu
2009,Cristian Mungiu,,Cristian Mungiu,,Dana Bunescu,,Cristian Mungiu,Oleg Mutu,,Anamaria Marinca,Otilia,Laura Vasiliu,Găbiță,Vlad Ivanov,Domnu' Bebe
19913,Marc Webb,,Scott Neustadter,Michael H. Weber,Alan Edward Bell,,Steven J. Wolfe,Mason Novick,Mychael Danna,Joseph Gordon-Levitt,Tom Hansen,Zooey Deschanel,Summer Finn,Chloë Grace Moretz,Rachel Hansen
268536,Jonathan Demme,,Wallace Shawn,,Tim Squyres,,Wallace Shawn,Andre Gregory,,Wallace Shawn,Halvard Solness,Julie Hagerty,Mrs. Solness,Larry Pine,Dr. Herdal
16804,Yojiro Takita,,Kundô Koyama,,Akimasa Kawashima,,Toshiaki Nakazawa,Ichirô Nobukuni,Joe Hisaishi,Masahiro Motoki,Daigo Kobayashi,Ryoko Hirosue,Mika Kobayashi,Tsutomu Yamazaki,Ikuei Sasaki
63311,Pedro Almodóvar,,Pedro Almodóvar,,José Salcedo,,Esther García,Agustín Almodóvar,Alberto Iglesias,Antonio Banderas,Dr. Robert Ledgard,Elena Anaya,Vera Cruz,Marisa Paredes,Marilia
506815,Kevin Goetz,Michael Goetz,,,Kindra Marra,,Kevin Goetz,Dan Clifton,,Alycia Debnam-Carey,Frances Campbell,Brenton Thwaites,Norman Young,Claire Holt,Abbey Campbell
40044,Richard Thorpe,,Cyril Hume,,Frank Sullivan,Gene Ruggiero,Sam Zimbalist,,,Johnny Weissmüller,Tarzan,Maureen O'Sullivan,Jane Parker,Johnny Sheffield,Boy
585378,Kogonada,,,,Kogonada,,Paul S. Mezey,Caroline Kaplan,Aska Matsumiya,Colin Farrell,Jake,Jodie Turner-Smith,Kyra,Malea Emma Tjandrawidjaja,Mika
420817,Guy Ritchie,,Guy Ritchie,John August,James Herbert,,Dan Lin,Jonathan Eirich,Alan Menken,Will Smith,Genie / Mariner,Mena Massoud,Aladdin,Naomi Scott,Jasmine
73873,Rodrigo García,,Glenn Close,John Banville,,,Glenn Close,Bonnie Curtis,Brian Byrne,Glenn Close,Albert Nobbs,Mia Wasikowska,Helen Dawes,Aaron Taylor-Johnson,Joe Mackins
891,Alan J. Pakula,,William Goldman,,Robert L. Wolfe,,Walter Coblenz,,David Shire,Dustin Hoffman,Carl Bernstein,Robert Redford,Bob Woodward,Martin Balsam,Howard Simons
24684,Lone Scherfig,,Nick Hornby,,Barney Pilling,,Amanda Posey,Finola Dwyer,Paul Englishby,Carey Mulligan,Jenny Mellor,Peter Sarsgaard,David Goldman,Dominic Cooper,Danny
61891,Roland Emmerich,,,,Peter R. Adam,,Larry J. Franco,Roland Emmerich,Harald Kloser,Jamie Campbell Bower,Young Earl of Oxford,Rhys Ifans,Edward de Vere,David Thewlis,William Cecil
24243,Laís Bodanzky,,Luiz Bolognesi,,Daniel Rezende,,,,,Francisco Miguez,Mano,Gabriela Rocha,Carol,Fiuk,Pedro
299534,Anthony Russo,Joe Russo,Christopher Markus,Stephen McFeely,Jeffrey Ford,Matthew Schmidt,Kevin Feige,,Alan Silvestri,Robert Downey Jr.,Tony Stark / Iron Man,Chris Evans,Steve Rogers / Captain America,Mark Ruffalo,Bruce Banner / Hulk
46647,Cláudio Assis,,Hilton Lacerda,,,,,,,Fernando Teixeira,Heitor,Caio Blat,Cícero,Matheus Nachtergaele,Everardo
16876,Guy Ferland,,,,Jill Savitt,,Paul Hellerman,Deboragh Gabler,,Tom Cavanagh,Val Duncan,Ben Foster,Trevor Adams,Randy Harrison,Sean
451915,Felix van Groeningen,,Luke Davies,Felix van Groeningen,Nico Leunen,,Brad Pitt,Dede Gardner,,Steve Carell,David Sheff,Timothée Chalamet,"Nicholas ""Nic"" Sheff",Maura Tierney,Karen Barbour
10020,Gary Trousdale,Kirk Wise,Linda Woolverton,,John Carnochan,Bill Wilner,Don Hahn,Sarah McArthur,Alan Menken,Paige O'Hara,Belle (voice),Robby Benson,Beast (voice),Richard White,Gaston (voice)
777270,Kenneth Branagh,,,,Úna Ní Dhonghaíle,,Kenneth Branagh,Celia Duval,Van Morrison,Jude Hill,Buddy,Caitríona Balfe,Ma,Jamie Dornan,Pa
898,John Frankenheimer,,Guy Trosper,,Edward Mann,,Guy Trosper,Stuart Millar,Elmer Bernstein,Burt Lancaster,Robert Stroud,Karl Malden,Harvey Shoemaker,Thelma Ritter,Elizabeth Stroud
8338,Fernando Meirelles,,Don McKellar,,Daniel Rezende,,Niv Fichman,Andrea Barata Ribeiro,Marco Antônio Guimarães,Julianne Moore,Doctor's Wife,Mark Ruffalo,Doctor,Alice Braga,Woman with dark glasses
4995,Paul Thomas Anderson,,,,Dylan Tichenor,,John S. Lyons,Lloyd Levin,Michael Penn,Mark Wahlberg,Eddie Adams / Dirk Diggler,Julianne Moore,Amber Waves,Burt Reynolds,Jack Horner
62177,Brenda Chapman,Mark Andrews,Irene Mecchi,Brenda Chapman,,,Katherine Sarafian,,Patrick Doyle,Kelly Macdonald,Merida (voice),Billy Connolly,Fergus (voice),Emma Thompson,Elinor (voice)
296098,Steven Spielberg,,,,Michael Kahn,,Steven Spielberg,Marc Platt,Thomas Newman,Tom Hanks,James B. Donovan,Mark Rylance,Rudolf Abel,Amy Ryan,Mary Donovan
398818,Luca Guadagnino,,James Ivory,,Walter Fasano,,James Ivory,Howard Rosenman,Sufjan Stevens,Timothée Chalamet,Elio Perlman,Armie Hammer,Oliver,Michael Stuhlbarg,Samuel Perlman
517814,Nadine Labaki,,,,Laure Gardette,Konstantin Bock,Michel Merkt,Khaled Mouzanar,Khaled Mouzanar,Zain Al Rafeea,Zain,Yordanos Shifera,Rahil,Boluwatife Treasure Bankole,Yonas
267,Pedro Almodóvar,,Pedro Almodóvar,Jorge Guerricaechevarría,José Salcedo,,Esther García,Agustín Almodóvar,Alberto Iglesias,Liberto Rabal,Víctor Plaza,Francesca Neri,Elena,Javier Bardem,David
10515,Hayao Miyazaki,,,,Takeshi Seyama,Yoshihiro Kasahara,Isao Takahata,Toshio Suzuki,Joe Hisaishi,Keiko Yokozawa,Sheeta (voice),Mayumi Tanaka,Pazu (voice),Minori Terada,Muska (voice)
2255,Kevin Smith,,Kevin Smith,,Kevin Smith,Scott Mosier,Scott Mosier,,David Pirner,Ben Affleck,Holden McNeil,Joey Lauren Adams,Alyssa Jones,Jason Lee,Banky Edwards
83542,Tom Tykwer,Lilly Wachowski,Tom Tykwer,Lilly Wachowski,Alexander Berner,Claus Wehlisch,Tom Tykwer,Stefan Arndt,Johnny Klimek,Tom Hanks,Dr. Henry Goose / Hotel Manager / Isaac Sachs / Dermot Hoggins / Cavendish Look-a-Like Actor / Zachry,Halle Berry,Native Woman / Jocasta Ayrs / Luisa Rey / Indian Party Guest / Ovid / Meronym,Jim Broadbent,Captain Molyneux / Vyvyan Ayrs / Timothy Cavendish / Korean Musician / Prescient 2
22794,Phil Lord,Christopher Miller,Phil Lord,Christopher Miller,Robert Fisher Jr.,,Chris Juen,Pam Marsden,Mark Mothersbaugh,Bill Hader,Flint Lockwood / FLDSMDFR (voice),Anna Faris,Sam Sparks (voice),James Caan,Tim Lockwood (voice)
39538,Steven Soderbergh,,Scott Z. Burns,,Stephen Mirrione,,Michael Shamberg,Stacey Sher,Cliff Martinez,Marion Cotillard,Leonora Orantes,Matt Damon,Mitch Emhoff,Laurence Fishburne,Ellis Cheever
139848,Jean-François Brient,,,,,,,,,,,,,,
152532,Jean-Marc Vallée,,,,Jean-Marc Vallée,Martin Pensa,Robbie Brenner,Rachel Winter,,Matthew McConaughey,Ron Woodroof,Jennifer Garner,Dr. Eve Saks,Jared Leto,Rayon
104153,Jon Blair,,Jon Blair,,,,,,,,,,,,
582,Florian Henckel von Donnersmarck,,Florian Henckel von Donnersmarck,,Patricia Rommel,,Max Wiedemann,Quirin Berg,Gabriel Yared,Martina Gedeck,Christa-Maria Sieland,Ulrich Mühe,Gerd Wiesler,Sebastian Koch,Georg Dreyman
74308,Tony Kaye,,,,Barry Alexander Brown,Geoffrey Richman,Greg Shapiro,Carl Lund,,Adrien Brody,Henry Barthes,Sami Gayle,Erica,Christina Hendricks,Ms. Sarah Madison
447404,Rob Letterman,,Rob Letterman,Derek Connolly,Mark Sanger,James Thomas,Cale Boyter,Mary Parent,Henry Jackman,Justice Smith,Tim Goodman,Ryan Reynolds,Detective Pikachu (voice),Kathryn Newton,Lucy Stevens
1832,Kevin Smith,,,,Kevin Smith,Scott Mosier,Scott Mosier,,Howard Shore,Ben Affleck,Bartleby,Matt Damon,Loki,Linda Fiorentino,Bethany Sloane
646380,Adam McKay,,Adam McKay,,Hank Corwin,,Adam McKay,Kevin J. Messick,Nicholas Britell,Jennifer Lawrence,Kate Dibiasky,Leonardo DiCaprio,Dr. Randall Mindy,Meryl Streep,President Orlean
141,Richard Kelly,,Richard Kelly,,Sam Bauer,Eric Strand,Adam Fields,Sean McKittrick,Michael Andrews,Jake Gyllenhaal,Donnie Darko,Jena Malone,Gretchen Ross,James Duval,Frank
372754,Shouko Nakamura,,,,Shigeru Nishiyama,,Shizuka Kurosaki,,Kotaro Oshio,Kenji Nojima,Rihito Sajo (Voice),Hiroshi Kamiya,Hikaru Kusakabe (Voice),Hideo Ishikawa,Manabu Hara (Voice)
172533,Joe Swanberg,,,,Joe Swanberg,,Joe Swanberg,Alicia Van Couvering,,Olivia Wilde,Kate,Jake Johnson,Luke,Anna Kendrick,Jill
580175,Thomas Vinterberg,,Thomas Vinterberg,Tobias Lindholm,Janus Billeskov Jansen,Anne Østerud,Sisse Graum Jørgensen,Kasper Dissing,,Mads Mikkelsen,Martin,Thomas Bo Larsen,Tommy,Lars Ranthe,Peter
438631,Denis Villeneuve,,Eric Roth,Denis Villeneuve,Joe Walker,,Joseph M. Caracciolo Jr.,Cale Boyter,Hans Zimmer,Timothée Chalamet,Paul Atreides,Rebecca Ferguson,Lady Jessica Atreides,Oscar Isaac,Duke Leto Atreides
23619,Giulio Manfredonia,,Fabio Bonifacci,Giulio Manfredonia,,,Angelo Rizzoli Jr.,,,Claudio Bisio,Nello,Anita Caprioli,Sara,Giuseppe Battiston,Dottor Federico Furlan
15044,Philip Martin,,,,,,Paola Villanueva Bidault,,,David Tennant,Arthur Eddington,Richard McCabe,Frank Dyson,Andy Serkis,Albert Einstein
1807,Gus Van Sant,,Gus Van Sant,,Gus Van Sant,,Dany Wolf,,,Alex Frost,Alex,Eric Deulen,Eric,John Robinson,John McFarland
497582,Harry Bradbeer,,Jack Thorne,,Adam Bosman,,Alex Garcia,Mary Parent,Daniel Pemberton,Millie Bobby Brown,Enola Holmes,Henry Cavill,Sherlock Holmes,Sam Claflin,Mycroft Holmes
209263,Nicole Holofcener,,,,Robert Frazen,,Anthony Bregman,Stefanie Azpiazu,Marcelo Zarvos,Julia Louis-Dreyfus,Eva,James Gandolfini,Albert,Catherine Keener,Marianne
8841,Laurent Cantet,,Laurent Cantet,Robin Campillo,Robin Campillo,Stephanie Leger,Carole Scotta,Simon Arnal,,François Bégaudeau,"François Marin, head teacher",Arthur Fogel,"Arthur, student",Damien Gomes,"Damien, student"
72660,Daniel Ribeiro,,,,Cristian Chinen,,Daniel Ribeiro,Diana Almeida,Tatá Aeroplano,Ghilherme Lobo,Leonardo,Tess Amorim,Giovana,Fábio Audi,Gabriel
234284,Yasuhiro Yoshiura,,Yasuhiro Yoshiura,,,,Tom Nagae,,Toru Okada,Jun Fukuyama,Rikuo (voice),Rie Tanaka,Sammy (voice),Kenji Nojima,Masakazu Misaki (voice)
4193,Guy Hamilton,,Anthony Shaffer,,Richard Marden,,John Brabourne,Richard B. Goodwin,,Peter Ustinov,Hercule Poirot,Jane Birkin,Christine Redfern,Nicholas Clay,Patrick Redfern
345,Stanley Kubrick,,Stanley Kubrick,Frederic Raphael,Nigel Galt,,Stanley Kubrick,Brian W. Cook,Jocelyn Pook,Tom Cruise,Dr. William 'Bill' Harford,Nicole Kidman,Alice Harford,Sydney Pollack,Victor Ziegler
458737,Paul Schrader,,Paul Schrader,,Ben Rodriguez Jr.,,Christine Vachon,Jack Binder,Brian Williams,Ethan Hawke,Pastor Ernst Toller,Amanda Seyfried,Mary Mensana,Cedric the Entertainer,Pastor Joel Jeffers
109445,Chris Buck,Jennifer Lee,Jennifer Lee,,Jeff Draheim,,Peter Del Vecho,,Christophe Beck,Kristen Bell,Anna (voice),Idina Menzel,Elsa (voice),Jonathan Groff,Kristoff (voice)
315837,Rupert Sanders,,Ehren Kruger,Jamie Moss,Neil Smith,Billy Rich,Avi Arad,Steven Paul,,Scarlett Johansson,Major Mira Killian / Motoko Kusanagi,Takeshi Kitano,Chief Daisuke Aramaki,Michael Pitt,Kuze / Hideo
5279,Robert Altman,,,,Tim Squyres,,Robert Altman,David Levy,Patrick Doyle,Maggie Smith,Constance Trentham,Michael Gambon,William McCordle,Kristin Scott Thomas,Sylvia McCordle
49047,Alfonso Cuarón,,,,Alfonso Cuarón,Mark Sanger,David Heyman,Alfonso Cuarón,Steven Price,Sandra Bullock,Dr. Ryan Stone,George Clooney,Lt. Matt Kowalski,Ed Harris,Mission Control (voice)
556574,Thomas Kail,,,,Jonah Moran,,Jeffrey Seller,Lin-Manuel Miranda,,Lin-Manuel Miranda,Alexander Hamilton,Leslie Odom Jr.,Aaron Burr,Renée Elise Goldsberry,Angelica Schuyler
11787,Henry Koster,,Oscar Brodney,Myles Connolly,Ralph Dawson,,John Beck,,Frank Skinner,James Stewart,Elwood P. Dowd,Josephine Hull,Veta Louise Dowd Simmons,Charles Drake,Dr. Sanderson
152601,Spike Jonze,,,,Jeff Buchanan,Eric Zumbrunnen,Spike Jonze,Vincent Landay,Owen Pallett,Joaquin Phoenix,Theodore Twombly,Scarlett Johansson,Samantha (voice),Amy Adams,Amy
376865,Claire Denis,,Claire Denis,Jean-Pol Fargeau,Guy Lecorne,,Christoph Friedel,Claudia Steffen,Tindersticks,Robert Pattinson,Monte,Juliette Binoche,Dibs,André 3000,Tcherny
237791,Daniel Ribeiro,,Daniel Ribeiro,,Cristian Chinen,,Daniel Ribeiro,Diana Almeida,,Ghilherme Lobo,Leonardo,Fábio Audi,Gabriel,Tess Amorim,Giovana
103328,Leos Carax,,,,Nelly Quettier,,Martine Marignac,Maurice Tinchant,,Denis Lavant,M. Oscar / Le banquier / La mendiante / L'OS de Motion-Capture / M. Merde / Le père / L'accordéoniste / Le tueur / Le tué / Le mourant / L'homme au foyer,Edith Scob,Céline,Eva Mendes,Kay M
205,Terry George,,Terry George,Keir Pearson,Naomi Geraghty,,Terry George,A. Kitman Ho,Rupert Gregson-Williams,Don Cheadle,Paul Rusesabagina,Sophie Okonedo,Tatiana Rusesabagina,Nick Nolte,Colonel Oliver
10191,Chris Sanders,Dean DeBlois,Chris Sanders,Dean DeBlois,Maryann Brandon,Darren T. Holmes,Bonnie Arnold,,John Powell,Jay Baruchel,Hiccup  Horrendous Haddock III (voice),Gerard Butler,Stoick the Vast (voice),Craig Ferguson,Gobber the Belch (voice)
9685,Burr Steers,,,,William M. Anderson,Padraic McKinley,Marco Weber,Lisa Tornell,Uwe Fahrenkrog-Petersen,Kieran Culkin,"Jason ""Igby"" Slocumb, Jr.",Claire Danes,Sookie Sapperstein,Jeff Goldblum,D.H. Banes
8321,Martin McDonagh,,Martin McDonagh,,Jon Gregory,,Graham Broadbent,Peter Czernin,Carter Burwell,Colin Farrell,Ray,Brendan Gleeson,Ken Daley,Ralph Fiennes,Harry Waters
454286,Michael Mason,,,,,,David A.R. White,Elizabeth Hatcher-Travis,Pancho Burgos-Goizueta,David A.R. White,Pastor Dave,John Corbett,Pearce,Jennifer Taylor,Meg Harvey
171274,Paul Thomas Anderson,,,,Leslie Jones,,Paul Thomas Anderson,Daniel Lupi,Jonny Greenwood,Joaquin Phoenix,"Larry ""Doc"" Sportello",Josh Brolin,"Lt. Det. Christian F. ""Bigfoot"" Bjornsen",Owen Wilson,Coy Harlingen
5915,Sean Penn,,Sean Penn,,Jay Cassidy,,Art Linson,Sean Penn,Michael Brook,Emile Hirsch,Christopher McCandless / Alexander Supertramp,Marcia Gay Harden,Billie McCandless,William Hurt,Walt McCandless
31442,Andrei Tarkovsky,,Andrei Konchalovsky,,Lyudmila Feiginova,,,,,Nikolay Burlyaev,Ivan Bondarev,Valentin Zubkov,Captain Kholin,Nikolay Grinko,Lieutnant Colonel Gryaznov
12545,Norman Jewison,,Norman Jewison,Melvyn Bragg,Antony Gibbs,,Robert Stigwood,Norman Jewison,Andrew Lloyd Webber,Ted Neeley,Jesus Christ,Carl Anderson,Judas Iscariot,Yvonne Elliman,Mary Magdalene
100,Guy Ritchie,,Guy Ritchie,,Niven Howie,,Matthew Vaughn,,John Murphy,Jason Flemyng,Tom,Dexter Fletcher,Soap,Nick Moran,Eddie
546554,Rian Johnson,,,,Bob Ducsay,,Rian Johnson,Ram Bergman,Nathan Johnson,Daniel Craig,Benoit Blanc,Chris Evans,Ransom Drysdale,Ana de Armas,Marta Cabrera
439,Federico Fellini,,Federico Fellini,Tullio Pinelli,Leo Catozzo,,Giuseppe Amato,Angelo Rizzoli,Nino Rota,Marcello Mastroianni,Marcello Rubini,Anita Ekberg,Sylvia,Anouk Aimée,Maddalena
10340,Hamilton Luske,Wilfred Jackson,Don DaGradi,Erdman Penner,Donald Halliday,,Walt Disney,,Oliver Wallace,Barbara Luddy,Lady (voice),Larry Roberts,Tramp (voice),Peggy Lee,Darling / Si / Am / Peg (voice)
60141,Luiz Fernando Carvalho,,,,,,,,,Selton Mello,André,Raul Cortez,Father,Juliana Carneiro da Cunha,Mother
